WorkID,WorkTitle,Genre,GenreID
2576,"The Midnight Sky","Narrative, Movie","20001, 2000130"
2812,Invincible,"Narrative, TV series or episode","20001, 2000131"
2812,Invincible,"Narrative, TV series or episode","20001, 2000131"
2722,"Outside the Wire","Narrative, Movie","20001, 2000130"
2722,"Outside the Wire","Narrative, Movie","20001, 2000130"
3220,"Squid Game","Narrative, TV series or episode","20001, 2000131"
3220,"Squid Game","Narrative, TV series or episode","20001, 2000131"
3216,"Klara and the Sun","Narrative, Novel","20001, 2000133"
3216,"Klara and the Sun","Narrative, Novel","20001, 2000133"
3119,Machinehood,"Narrative, Novel","20001, 2000133"
3119,Machinehood,"Narrative, Novel","20001, 2000133"
3033,"The Mitchells vs. The Machines","Narrative, Movie","20001, 2000130"
3033,"The Mitchells vs. The Machines","Narrative, Movie","20001, 2000130"
3137,"Black Widow","Narrative, Movie","20001, 2000130"
3137,"Black Widow","Narrative, Movie","20001, 2000130"
