SituationID,SituationTitle,Genre,GenreID,Character,Entity,Technology,Verb
3266,"Sight (Daphne discovers the pick-up app)","Online video",2000132,"Daphne W (Sight)",,,Exploited
3266,"Sight (Daphne discovers the pick-up app)","Online video",2000132,,,"Augmented reality",Revealed
3266,"Sight (Daphne discovers the pick-up app)","Online video",2000132,"Daphne W (Sight)",,,Discovering
3266,"Sight (Daphne discovers the pick-up app)","Online video",2000132,"Patrick (Sight)",,,Hacking
3266,"Sight (Daphne discovers the pick-up app)",Narrative,20001,"Daphne W (Sight)",,,Understanding
3266,"Sight (Daphne discovers the pick-up app)","Online video",2000132,"Daphne W (Sight)",,,Controlled
3266,"Sight (Daphne discovers the pick-up app)",Narrative,20001,,,"Augmented reality",Hacked
3266,"Sight (Daphne discovers the pick-up app)",Narrative,20001,"Daphne W (Sight)",,,Exploited
3266,"Sight (Daphne discovers the pick-up app)",Narrative,20001,"Patrick (Sight)",,,Exploiting
3266,"Sight (Daphne discovers the pick-up app)",Narrative,20001,"Daphne W (Sight)",,,Discovering
3266,"Sight (Daphne discovers the pick-up app)","Online video",2000132,"Daphne W (Sight)",,,Stopped
3266,"Sight (Daphne discovers the pick-up app)",Narrative,20001,,,"Augmented reality",Revealed
3266,"Sight (Daphne discovers the pick-up app)",Narrative,20001,"Daphne W (Sight)",,,Controlled
3266,"Sight (Daphne discovers the pick-up app)",Narrative,20001,"Patrick (Sight)",,,Controlling
3266,"Sight (Daphne discovers the pick-up app)","Online video",2000132,"Daphne W (Sight)",,,Yelling
3266,"Sight (Daphne discovers the pick-up app)","Online video",2000132,"Patrick (Sight)",,,Exploiting
3265,"Sight (Patrick manipulates Daphne)",Narrative,20001,,,"Augmented reality",Suggesting
3265,"Sight (Patrick manipulates Daphne)","Online video",2000132,,,"Augmented reality",Analysing
3265,"Sight (Patrick manipulates Daphne)","Online video",2000132,,,"Emotion recognition",Classifying
3265,"Sight (Patrick manipulates Daphne)","Online video",2000132,"Daphne W (Sight)",,,Talking
3265,"Sight (Patrick manipulates Daphne)","Online video",2000132,"Patrick (Sight)",,,Manipulating
3265,"Sight (Patrick manipulates Daphne)",Narrative,20001,,,"Emotion recognition",Analysing
3265,"Sight (Patrick manipulates Daphne)","Online video",2000132,,,"Augmented reality",Classifying
3265,"Sight (Patrick manipulates Daphne)",Narrative,20001,"Daphne W (Sight)",,,Talking
3265,"Sight (Patrick manipulates Daphne)",Narrative,20001,,,"Augmented reality",Analysing
3265,"Sight (Patrick manipulates Daphne)",Narrative,20001,,,"Emotion recognition",Classifying
3265,"Sight (Patrick manipulates Daphne)","Online video",2000132,,,"Emotion recognition",Exposing
3265,"Sight (Patrick manipulates Daphne)","Online video",2000132,"Daphne W (Sight)",,,Exposed
3265,"Sight (Patrick manipulates Daphne)",Narrative,20001,"Patrick (Sight)",,,Talking
3265,"Sight (Patrick manipulates Daphne)",Narrative,20001,,,"Augmented reality",Classifying
3265,"Sight (Patrick manipulates Daphne)","Online video",2000132,,,"Augmented reality",Exposing
3265,"Sight (Patrick manipulates Daphne)",Narrative,20001,"Daphne W (Sight)",,,Exposed
3265,"Sight (Patrick manipulates Daphne)","Online video",2000132,"Patrick (Sight)",,,Talking
3265,"Sight (Patrick manipulates Daphne)",Narrative,20001,,,"Emotion recognition",Exposing
3265,"Sight (Patrick manipulates Daphne)","Online video",2000132,,,"Emotion recognition",Revealing
3265,"Sight (Patrick manipulates Daphne)","Online video",2000132,"Daphne W (Sight)",,,Enjoying
3265,"Sight (Patrick manipulates Daphne)",Narrative,20001,"Patrick (Sight)",,,Enjoying
3265,"Sight (Patrick manipulates Daphne)",Narrative,20001,,,"Augmented reality",Exposing
3265,"Sight (Patrick manipulates Daphne)","Online video",2000132,,,"Augmented reality",Revealing
3265,"Sight (Patrick manipulates Daphne)",Narrative,20001,"Daphne W (Sight)",,,Enjoying
