Title,ID,"Publication Type","Publication Type ID","This character","This character ID",Entity,"Entity ID",Technology,"Technology ID",Verb,"Verb ID"
"No More Selfies (Drone attack)",3145,"Narrative, Fan fiction","20001, 2000135","""Kim Kardashian""  (No More Selfies)",544,,,,,"Helping, Witnessing, Attacked, Escaping","2000372, 2000547, 2000802, 2000596"
"No More Selfies (Drone attack)",3145,"Narrative, Fan fiction","20001, 2000135","Sunita (No More Selfies)",543,,,,,"Escaping, Attacked, Recognising","2000596, 2000802, 2000378"
"No More Selfies (Drone attack)",3145,"Narrative, Fan fiction","20001, 2000135",,,,,"Drones (UAV)",200079,"Shooting, Controlled","2000800, 2000543"
"No More Selfies (Drone attack)",3145,"Narrative, Fan fiction","20001, 2000135","Bri-Bri (No More Selfies)",3144,,,,,"Controlling, Attacking, Betraying, Recognised","2000402, 2000928, 20002054, 20001618"
"Autonomous (Paladin loses facial recognition)",3143,"Narrative, Novel","20001, 2000133","Paladin (Autonomous)",3139,,,,,"Seeing, Panicking, Damaged, Classifying, Failing","2000561, 2000577, 20001749, 2000759, 2000499"
"Autonomous (Paladin loses facial recognition)",3143,"Narrative, Novel","20001, 2000133",,,,,"Facial recognition",20007,Failing,2000499
"Autonomous (Paladin loses facial recognition)",3143,"Narrative, Novel","20001, 2000133","Eliasz (Autonomous)",3141,,,,,"Talking, Obscured","20001051, 20001140"
"Autonomous (Paladin in love)",3142,"Narrative, Novel","20001, 2000133","Eliasz (Autonomous)",3141,,,,,"Laughing, Recorded, Seen","20001281, 2000752, 20001196"
"Autonomous (Paladin in love)",3142,"Narrative, Novel","20001, 2000133","Paladin (Autonomous)",3139,,,,,"Logging, Loving, Saving, Seeing","2000351, 20001534, 2000552, 2000561"
"Autonomous (Paladin in love)",3142,"Narrative, Novel","20001, 2000133",,,,,Camera,2000206,Recording,2000403
"Autonomous (Paladin hacks the sprinklers)",3140,"Narrative, Novel","20001, 2000133","Paladin (Autonomous)",3139,,,,,"Hacking, Accessing, Tricking","2000409, 20001003, 2000371"
"Autonomous (Paladin hacks the sprinklers)",3140,"Narrative, Novel","20001, 2000133",,,Object,2000962,,,"Hacked, Tricked","2000407, 2000723"
"Autonomous (Paladin hacks the sprinklers)",3140,"Narrative, Novel","20001, 2000133",,,,,"Surveillance cameras",200080,"Accessed, Recording","20001462, 2000403"
"Attack Surface (Drones surveilling protest)",3138,"Narrative, Novel","20001, 2000133","Masha Maximow",3124,,,,,"Surveilled, Observing","2000981, 20001032"
"Attack Surface (Drones surveilling protest)",3138,"Narrative, Novel","20001, 2000133",,,,,"Drones (UAV), Machine learning","200079, 200012","Surveilling, Countersurveilling, Obstructing, Evading","2000432, 2000439, 20001740, 2000438"
"Attack Surface (Drones surveilling protest)",3138,"Narrative, Novel","20001, 2000133",,,"Law enforcement",2000441,,,"Surveilling, Obstructed, Evaded","2000432, 20001744, 2000932"
"Black Widow (Taskmaster's HUD display)",3134,"Narrative, Movie","20001, 2000130",Taskmaster,3135,,,,,"Analysing, Predicting, Mimicking, Controlled","2000364, 2000395, 2000471, 2000543"
"Black Widow (Taskmaster's HUD display)",3134,"Narrative, Movie","20001, 2000130",,,,,"Augmented reality, Machine learning, Object recognition","200074, 200012, 200015","Analysing, Predicting, Learning","2000364, 2000395, 2000633"
"Black Widow (Taskmaster's HUD display)",3134,"Narrative, Movie","20001, 2000130","Natasha Romanoff (The Black Widow)",3136,,,,,"Analysed, Fighting, Mimicked","2000880, 2000386, 20001853"
"Remote Control (Sankofa kills drone)",3132,"Narrative, Novel","20001, 2000133",,,,,"Drones (UAV)",200079,"Surveilling, Destroyed","2000432, 20001143"
"Remote Control (Sankofa kills drone)",3132,"Narrative, Novel","20001, 2000133",,,,,"AI (General Purpose Artificial Intelligence)",2000152,"Surveilling, Protecting, Distracted, Failing","2000432, 2000411, 20002053, 2000499"
"Remote Control (Sankofa kills drone)",3132,"Narrative, Novel","20001, 2000133",Sankofa,3131,,,,,"Destroying, Surveilled, Watched","2000619, 2000981, 2000355"
"Attack Surface (Assumption of constant surveillance)",3128,"Narrative, Novel","20001, 2000133","Masha Maximow",3124,,,,,"Worrying, Surveilled, Pretending","2000507, 2000981, 2000648"
"Attack Surface (Assumption of constant surveillance)",3128,"Narrative, Novel","20001, 2000133",,,,,"Cameraphone, Machine learning, Surveillance cameras","2000154, 200012, 200080",Surveilling,2000432
"Attack Surface (Dazzle makeup)",3127,"Narrative, Novel","20001, 2000133","Masha Maximow",3124,,,,,"Camouflaging, Protesting","2000853, 2000427"
"Attack Surface (Dazzle makeup)",3127,"Narrative, Novel","20001, 2000133",,,,,"Surveillance cameras",200080,"Tricked, Blinded","2000723, 20001169"
"Attack Surface (Drone brings wedding gift)",3126,"Narrative, Novel","20001, 2000133","Masha Maximow",3124,,,,,"Controlling, Giving, Watching, Stalking","2000402, 20001401, 2000350, 2000677"
"Attack Surface (Drone brings wedding gift)",3126,"Narrative, Novel","20001, 2000133",,,,,"Drones (UAV)",200079,"Delivering, Surveilling, Transmitting","20001090, 2000432, 2000594"
"Machinehood (Classifying people)",3122,"Narrative, Novel","20001, 2000133",,,"Humans in general",2000356,,,"Classified, Mapped","20001293, 20001128"
