Title,ID,"Publication Type","Publication Type ID","This character","This character ID",Entity,"Entity ID",Technology,"Technology ID",Verb,"Verb ID"
"The Invisible Man (Violent use of Invisibility)",2543,"Narrative, Movie","20001, 2000130","Cecilia Kass",2539,,,,,"Stabbing, Fighting, Tormented, Manipulated","2000788, 2000386, 20001980, 20001407"
"The Invisible Man (Violent use of Invisibility)",2543,"Narrative, Movie","20001, 2000130",,,,,"Camera, Image generation","2000206, 200073","Camouflaging, Damaged","2000853, 20001749"
"The Invisible Man (CCTV surveillance footage)",2542,"Narrative, Movie","20001, 2000130",,,,,"Surveillance cameras",200080,"Watching, Recording","2000350, 2000403"
"The Invisible Man (CCTV surveillance footage)",2542,"Narrative, Movie","20001, 2000130","Cecilia Kass",2539,,,,,"Running, Escaping, Scared, Watched, Recorded","2000683, 2000596, 2000417, 2000355, 2000752"
"The Invisible Man (Cecilia Paints Webcam)",2541,"Narrative, Movie","20001, 2000130",,,,,Webcams,2000153,"Watching, Painted, Obscured","2000350, 20001735, 20001140"
"The Invisible Man (Cecilia Paints Webcam)",2541,"Narrative, Movie","20001, 2000130","Cecilia Kass",2539,,,,,"Looking, Painting, Hiding, Scared, Watched, Obscuring","2000435, 2000862, 2000397, 2000417, 2000355, 20001138"
"Animal Classifier (classifying images of animals)",2537,"Art, Installation art","20002, 2000138",,,Image,2000335,,,"Classified, Analysed","20001293, 2000880"
"Animal Classifier (classifying images of animals)",2537,"Art, Installation art","20002, 2000138",,,,,"Object recognition",200015,"Classifying, Analysing, Trained","2000759, 2000364, 20001391"
"Animal Classifier (classifying images of animals)",2537,"Art, Installation art","20002, 2000138",,,Creator,2000334,,,"Categorizing, Conceptualizing, Training","2000758, 20001378, 2000920"
"DIGITAL PAREIDOLIA: A Personal Index Of Facebook’s Erroneous Portraits (misinterpreting objects as faces)",2535,"Art, Photograph/print/painting","20002, 2000157",,,Image,2000335,,,"Uploaded, Recognised, Misinterpreted, Demonstrating, Classified","20001729, 20001618, 20001730, 2000468, 20001293"
"DIGITAL PAREIDOLIA: A Personal Index Of Facebook’s Erroneous Portraits (misinterpreting objects as faces)",2535,"Art, Photograph/print/painting","20002, 2000157",,,,,"Facial recognition",20007,"Classifying, Misinterpreting, Mistaking","2000759, 20001731, 20001004"
"DIGITAL PAREIDOLIA: A Personal Index Of Facebook’s Erroneous Portraits (misinterpreting objects as faces)",2535,"Art, Photograph/print/painting","20002, 2000157",,,Creator,2000334,,,"uploading, Sorting, Discovering, Collecting","2000550, 20001732, 2000782, 2000728"
"Digital skin (changing skin)",2533,"Art, Photograph/print/painting","20002, 2000157",,,Creator,2000334,,,"Scanned, Transformed, Posing, Masked","2000658, 2000985, 2000708, 20001082"
"Digital skin (changing skin)",2533,"Art, Photograph/print/painting","20002, 2000157",,,Image,2000335,,,"Distorted, Surprising, Layered","20001139, 20001663, 20001727"
"Digital skin (changing skin)",2533,"Art, Photograph/print/painting","20002, 2000157",,,,,"3D scans",20001081,"Scanning, 3D modeling, Reproducing, Colliding, Reconstructing","2000377, 20001364, 20001301, 20001728, 20001285"
"Digital skin (changing skin)",2533,"Art, Photograph/print/painting","20002, 2000157","Strangers (Digital Skin)",2534,,,,,"Photographed, Posing, Contributing","2000819, 2000708, 2000898"
"Isle of Dogs (Drone captures Atari)",2531,"Narrative, Movie","20001, 2000130",,,,,"Drones (UAV)",200079,"Capturing, Surveilling","2000572, 2000432"
"Isle of Dogs (Drone captures Atari)",2531,"Narrative, Movie","20001, 2000130",,,Government,2000333,,,"Surveilling, Capturing","2000432, 2000572"
"Isle of Dogs (Drone captures Atari)",2531,"Narrative, Movie","20001, 2000130",Atari,2530,,,,,"Captured, Surveilled","20001039, 2000981"
"STET (Ursula killed by self-driving car)",2523,"Narrative, Short story","20001, 2000134",,,,,"Machine learning, Object recognition, UGV","200012, 200015, 2000947","Seeing, Killing, Protecting, Prioritizing, Deciding, Classifying","2000561, 2000344, 2000411, 20001722, 20001158, 2000759"
"STET (Ursula killed by self-driving car)",2523,"Narrative, Short story","20001, 2000134",Ursula,2522,,,,,"Killed, Classified","2000346, 20001293"
"STET (Ursula killed by self-driving car)",2523,"Narrative, Short story","20001, 2000134",,,"Humans in general",2000356,,,"Training, Analysed","2000920, 2000880"
"STET (Ursula killed by self-driving car)",2523,"Narrative, Short story","20001, 2000134","Endangered Bird (STET)",2962,,,,,"Classified, Rescued","20001293, 2000803"
"The Social Dilemma (AI manipulates Ben)",2520,"Narrative, Movie","20001, 2000130",,,,,"Augmented reality, Holograms","200074, 20001339","Representing, Manipulated, tweaked, Showed","20001333, 20001407, 20001720, 20001613"
"The Social Dilemma (AI manipulates Ben)",2520,"Narrative, Movie","20001, 2000130",,,,,"AI (General Purpose Artificial Intelligence)",2000152,"Manipulating, Seeing, Predicting, Showing, Classifying","2000486, 2000561, 2000395, 2000399, 2000759"
"The Social Dilemma (AI manipulates Ben)",2520,"Narrative, Movie","20001, 2000130","A.I. (The Social Dilemma)",2907,,,,,"Manipulating, Seeing, Predicting, Showing, Classifying","2000486, 2000561, 2000395, 2000399, 2000759"
"The Social Dilemma (AI manipulates Ben)",2520,"Narrative, Movie","20001, 2000130",Ben,2517,,,,,"Manipulated, Showed, Tempted, Tricked, Represented, Classified","20001407, 20001613, 20001719, 2000723, 20001291, 20001293"
"Welcome to Your Authentic Indian ExperienceTM  (VR amusement park)",2513,"Narrative, Short story","20001, 2000134",,,,,"Virtual reality",2000147,"Displaying, Providing, Simulating","2000398, 20001709, 2000798"
"Welcome to Your Authentic Indian ExperienceTM  (VR amusement park)",2513,"Narrative, Short story","20001, 2000134","Jesse (Welcome to Your Authentic Indian ExperienceTM)",2082,,,,,"Viewing, Acting","2000848, 2000908"
"Welcome to Your Authentic Indian ExperienceTM  (VR amusement park)",2513,"Narrative, Short story","20001, 2000134",,,"Humans in general",2000356,,,"Desiring, Pretending, Playing","20001710, 2000648, 2000624"
"Love, Death and Robots (Sentient plane sees everything)",2512,"Narrative, TV series or episode","20001, 2000131","Lucky 13",2510,,,,,"Watching, Analysing, Evaluating, Caring, Protecting, Working","2000350, 2000364, 2000379, 2000389, 2000411, 2000849"
"Love, Death and Robots (Sentient plane sees everything)",2512,"Narrative, TV series or episode","20001, 2000131","Cutter Colby",2511,,,,,"Working, Flying, Appreciating, Approving, Protected","2000849, 2000751, 20001708, 20001054, 2000885"
"Love, Death and Robots (Sentient plane sees everything)",2512,"Narrative, TV series or episode","20001, 2000131",,,,,"Camera, Non-Visible Spectrum, Object recognition","2000206, 2000207, 200015","Analysing, Recording","2000364, 2000403"
"Love, Death and Robots (Holographic fight host)",2508,"Narrative, TV series or episode","20001, 2000131","Holographic Fight Host",2507,,,,,"Projected, Displayed, Entertaining","20001451, 2000888, 2000472"
"Love, Death and Robots (Holographic fight host)",2508,"Narrative, TV series or episode","20001, 2000131",,,,,Holograms,20001339,"Displaying, Representing, Replacing","2000398, 20001333, 2000647"
"Cyberpunk 2077 (V tests Braindance)",2506,Game,20003,V,2473,,,,,"Analysing, Investigating, Exploring, Training, Calibrated, Empathising, Overwhelmed","2000364, 2000366, 2000580, 2000920, 20001704, 2000668, 2000913"
"Cyberpunk 2077 (V tests Braindance)",2506,Game,20003,,,,,"Virtual reality",2000147,"Simulating, Replayed, Overwhelming, Analysed, Calibrated","2000798, 20001703, 20001604, 2000880, 20001704"
"Cyberpunk 2077 (V tests Braindance)",2506,Game,20003,,,,,"Non-Visible Spectrum",2000207,"Assisting, Revealing, Layering, Analysed","2000523, 2000368, 20001176, 2000880"
"Cyberpunk 2077 (V tests Braindance)",2506,Game,20003,,,,,"Surveillance cameras",200080,"Recording, Analysed","2000403, 2000880"
"Cyberpunk 2077 (V tests Braindance)",2506,Game,20003,"Thug (Cyberpunk 2077)",2509,,,,,"Robbing, Killed, Relived, Empathised","20001705, 2000346, 20001706, 20001707"
"Love, Death and Robots (Suzy coordinates via hologram)",2505,"Narrative, TV series or episode","20001, 2000131",Suzy,2504,,,,,"Operating, Coordinating, Informed","2000688, 20001267, 20001359"
"Love, Death and Robots (Suzy coordinates via hologram)",2505,"Narrative, TV series or episode","20001, 2000131",,,,,"Augmented reality, Holograms","200074, 20001339","Displaying, Operated, Informing","2000398, 20001047, 2000449"
"Love, Death and Robots (Robot checks scans environment)",2503,"Narrative, TV series or episode","20001, 2000131",,,,,"AI (General Purpose Artificial Intelligence), Non-Visible Spectrum, Object recognition","2000152, 2000207, 200015","Revealing, Detecting","2000368, 2000941"
"Love, Death and Robots (Robot checks scans environment)",2503,"Narrative, TV series or episode","20001, 2000131","Humanoid robot (Love, Death & Robots)",2495,,,,,"Scanning, Detecting, Surrounded","2000377, 2000941, 20001701"
"Love, Death and Robots (Robot takes photos)",2502,"Narrative, TV series or episode","20001, 2000131","Box robot (Love, Death & Robots)",2497,,,,,"Photographing, Fascinated, Zooming","20001058, 20001700, 2000363"
"Love, Death and Robots (Robot takes photos)",2502,"Narrative, TV series or episode","20001, 2000131",,,,,"Body scans, Camera, Object recognition","200090, 2000206, 200015","Scanning, Analysing","2000377, 2000364"
"Love, Death and Robots (Robot checks location)",2498,"Narrative, TV series or episode","20001, 2000131","Humanoid robot (Love, Death & Robots)",2495,,,,,"Annoyed, Asking, Disoriented","20001112, 20001304, 20001424"
"Love, Death and Robots (Robot checks location)",2498,"Narrative, TV series or episode","20001, 2000131",,,,,"AI (General Purpose Artificial Intelligence), Holograms, Motion tracking","2000152, 20001339, 2000180","Analysing, Navigating","2000364, 20001042"
"Love, Death and Robots (Robot checks location)",2498,"Narrative, TV series or episode","20001, 2000131","Small robot (Love, Death & Robots)",2496,,,,,"Displaying, Checking, Confirming","2000398, 2000493, 20001699"
"The Last Human (XR_935 analysing face)",2493,"Narrative, Novel","20001, 2000133","Emma human",2467,,,,,"Rescued, Analysed, Feeling","2000803, 2000880, 20001164"
"The Last Human (XR_935 analysing face)",2493,"Narrative, Novel","20001, 2000133",XR_935,2464,,,,,"Rescuing, Analysing, Understanding","2000551, 2000364, 2000733"
"The Last Human (XR_935 analysing face)",2493,"Narrative, Novel","20001, 2000133",,,,,"AI (General Purpose Artificial Intelligence), Emotion recognition","2000152, 200091",Registering,2000525
"Cyberpunk 2077 (Life coach checks troubling biometrics)",2492,Game,20003,,,,,"Biometrics, Body scans","20009, 200090","Informing, Varying, Alerting","2000449, 20001698, 2000943"
"Cyberpunk 2077 (Life coach checks troubling biometrics)",2492,Game,20003,"Life coach (Cyberpunk 2077)",2494,,,,,"calling, Alerted, Monitoring, Mediating","20001561, 20001119, 2000524, 20001362"
"Cyberpunk 2077 (Life coach checks troubling biometrics)",2492,Game,20003,V,2473,,,,,"called, Worrying, Informed, Monitored","20001614, 2000507, 20001359, 2000685"
"Bouvetøya 2052 (A fake hologram of Wu Lo is updating the contestants)",2491,"Narrative, Novel","20001, 2000133","Wu Lo (Bouvetøya 2052)",2486,,,,,"Faked, Replaced, Impersonated","20001852, 2000994, 20001458"
"Bouvetøya 2052 (A fake hologram of Wu Lo is updating the contestants)",2491,"Narrative, Novel","20001, 2000133",,,,,Holograms,20001339,"Faking, Impersonating, Misinforming","20001473, 20001395, 20001314"
"Bouvetøya 2052 (A fake hologram of Wu Lo is updating the contestants)",2491,"Narrative, Novel","20001, 2000133",,,,,,,"Viewing, Doubting","2000848, 20001074"
"Bouvetøya 2052 (Julian is looking at and adjusting holograms)",2484,"Narrative, Novel","20001, 2000133","Julian Makowski (Bouvetøya 2052)",2483,,,,,"Interacting, Watching","20001110, 2000350"
"Bouvetøya 2052 (Julian is looking at and adjusting holograms)",2484,"Narrative, Novel","20001, 2000133",,,,,Holograms,20001339,"Informing, Broadcasting, Projecting","2000449, 2000902, 2000761"
"Bouvetøya 2052 (Grol and Armin are using holograms to look at the Bouvet Island)",2480,"Narrative, Novel","20001, 2000133","Grol (Bouvetøya 2052), Armin (Bouvetøya 2052)","2478, 2479",,,,,"Assessing, Planning, Studying","2000710, 2000695, 20001690"
"Bouvetøya 2052 (Grol and Armin are using holograms to look at the Bouvet Island)",2480,"Narrative, Novel","20001, 2000133",,,,,Holograms,20001339,"Displaying, Revealing","2000398, 2000368"
"Cyberpunk 2077 (Cyberware malfunction and upgrade)",2472,Game,20003,V,2473,,,,,"Malfunctioning, Scanned, Enhanced, Upgraded, Obfuscated","2000384, 2000658, 20001480, 20001630, 20001207"
"Cyberpunk 2077 (Cyberware malfunction and upgrade)",2472,Game,20003,Viktor,2474,,,,,"Scanning, Implanting, Upgrading","2000377, 20001692, 20001631"
"Cyberpunk 2077 (Cyberware malfunction and upgrade)",2472,Game,20003,,,,,"Optical/ocular implant",2000127,"Malfunctioning, Implanted, Exchanged, Enhancing, Obfuscating","2000384, 20001693, 20001694, 2000783, 20001206"
"Cyberpunk 2077 (Cyberware malfunction and upgrade)",2472,Game,20003,,,,,"Facial recognition, Surveillance cameras","20007, 200080",Tricked,2000723
"The Last Human (XR_935 finds a human)",2468,"Narrative, Novel","20001, 2000133",XR_935,2464,,,,,"Confused, Scanning, Analysing, Failing, Studying, Recalling","2000554, 2000377, 2000364, 2000499, 20001690, 20001691"
"The Last Human (XR_935 finds a human)",2468,"Narrative, Novel","20001, 2000133",,,,,"AI (General Purpose Artificial Intelligence), Object recognition","2000152, 200015","Analysing, Scanning","2000364, 2000377"
"The Last Human (XR_935 finds a human)",2468,"Narrative, Novel","20001, 2000133","Emma human",2467,,,,,"Found, Scanned, Analysed, Scared","20001133, 2000658, 2000880, 2000417"
"The Last Human (XR_935 is recognising)",2465,"Narrative, Novel","20001, 2000133",XR_935,2464,,,,,"Learning, Recognising","2000633, 2000378"
"The Last Human (XR_935 is recognising)",2465,"Narrative, Novel","20001, 2000133",,,,,"Object recognition",200015,"Analysing, Detecting, Retrieving, Classifying","2000364, 2000941, 2000856, 2000759"
"The Last Human (XR_935 is recognising)",2465,"Narrative, Novel","20001, 2000133",,,Environment,20001679,,,"Recognised, Registered, Analysed","20001618, 20001689, 2000880"
"The Last Human (XR_935 is recognising)",2465,"Narrative, Novel","20001, 2000133","Animals (The Last Human)",2963,,,,,"Detected, Classified","20001122, 20001293"
"Whispers of a Machine (Fake biometric implant)",2444,Game,20003,"Katarina Berg",2445,,,,,"Scanned, Cooperating, Tricked, Impersonating","2000658, 20001399, 2000723, 20001395"
"Whispers of a Machine (Fake biometric implant)",2444,Game,20003,,,,,Biometrics,20009,"Tricking, Scanned, Impersonating","2000371, 2000658, 20001395"
"Whispers of a Machine (Fake biometric implant)",2444,Game,20003,"Detective Vera Englund",1744,,,,,"Investigating, Tricked, Scanning","2000366, 2000723, 2000377"
"Rugal (Kang Ki-beom use his eye to search through dental records)",2441,"Narrative, TV series or episode","20001, 2000131","Kang Ki-beom",1919,,,,,"Looking, Kneeling, Holding, Investigating","2000435, 20001683, 20001681, 2000366"
"Rugal (Kang Ki-beom use his eye to search through dental records)",2441,"Narrative, TV series or episode","20001, 2000131",,,,,"Facial recognition, Optical/ocular implant","20007, 2000127","Identifying, Failing","2000354, 2000499"
"Rugal (Kang Ki-beom use his eye to search through dental records)",2441,"Narrative, TV series or episode","20001, 2000131",,,,,"Biometrics, Optical/ocular implant","20009, 2000127","Identifying, Matching","2000354, 2000599"
"Rugal (Kang Ki-beom use his eye to search through dental records)",2441,"Narrative, TV series or episode","20001, 2000131","Victim (Rugal)",2929,,,,,"Killed, Identified, Damaged","2000346, 2000500, 20001749"
"Rugal ( Park Sung-woong try to break into the vault)",2440,"Narrative, TV series or episode","20001, 2000131","Guard (Rugal)",2439,,,,,"Looking, Suffering, Scared, Injured, Forced","2000435, 20001682, 2000417, 20001813, 2000593"
"Rugal ( Park Sung-woong try to break into the vault)",2440,"Narrative, TV series or episode","20001, 2000131","Hwang Deuk-Gu",2925,,,,,"Forcing, Holding, Observing, Testing","20001342, 20001681, 20001032, 2000579"
"Rugal ( Park Sung-woong try to break into the vault)",2440,"Narrative, TV series or episode","20001, 2000131",,,,,Biometrics,20009,"Scanning, Identifying, Rejecting, injuring, Tested","2000377, 2000354, 20001752, 20001657, 20001209"
"Rugal (Bradley look at a 3D scan of the eye)",2437,"Narrative, TV series or episode","20001, 2000131",,,,,"3D scans, Body scans","20001081, 200090","Displayed, Monitoring","2000888, 2000524"
"Rugal (Bradley look at a 3D scan of the eye)",2437,"Narrative, TV series or episode","20001, 2000131",Bradley,2435,,,,,"Looking, Analysing, Talking, Ignoring, Resetting","2000435, 2000364, 20001051, 20001280, 20001985"
"Rugal (Bradley look at a 3D scan of the eye)",2437,"Narrative, TV series or episode","20001, 2000131",,,,,"AI (General Purpose Artificial Intelligence), Optical/ocular implant","2000152, 2000127","Reset, Scanned, Monitored, Deleting","20001986, 2000658, 2000685, 2000583"
"Rugal (Bradley look at a 3D scan of the eye)",2437,"Narrative, TV series or episode","20001, 2000131",,,Image,2000335,,,Deleted,2000586
"Rugal (Bradley look at a 3D scan of the eye)",2437,"Narrative, TV series or episode","20001, 2000131","Kang Ki-beom",1919,,,,,"Panicking, Unplugging, Stopping, Monitored","2000577, 20001987, 20001236, 2000685"
"Rugal (Track enemy through surveillance cameras)",2436,"Narrative, TV series or episode","20001, 2000131",Bradley,2435,,,,,"Pointing, Telling, Suspecting, Recognising","20001680, 20001519, 20001855, 2000378"
"Rugal (Track enemy through surveillance cameras)",2436,"Narrative, TV series or episode","20001, 2000131",,,,,"Surveillance cameras",200080,"Showing, Capturing, Revealing","2000399, 2000572, 2000368"
"Rugal (Kang Ki-beom finds Song Mi-na´s earpiece)",2434,"Narrative, TV series or episode","20001, 2000131","Kang Ki-beom",1919,,,,,"Looking, Searching, Walking, Finding, Recognising","2000435, 2000615, 20001198, 2000584, 2000378"
"Rugal (Kang Ki-beom finds Song Mi-na´s earpiece)",2434,"Narrative, TV series or episode","20001, 2000131",,,Object,2000962,,,Recognised,20001618
"Rugal (Kang Ki-beom finds Song Mi-na´s earpiece)",2434,"Narrative, TV series or episode","20001, 2000131",,,,,"Object recognition",200015,"Scanning, Detecting, Showing","2000377, 2000941, 2000399"
"His Dark Materials (Lyra communicates with Dust)",2431,"Narrative, TV series or episode","20001, 2000131","Mary Malone",2429,,,,,"Flabbergasted, Learning, Understanding","20001121, 2000633, 2000733"
"His Dark Materials (Lyra communicates with Dust)",2431,"Narrative, TV series or episode","20001, 2000131",,,,,"Image generation",200073,"Showing, Demonstrating, Revealing","2000399, 2000468, 2000368"
"His Dark Materials (Lyra communicates with Dust)",2431,"Narrative, TV series or episode","20001, 2000131","Lyra Silvertongue",2428,,,,,"Communicating, Demonstrating, Helping, Learning","2000514, 2000468, 2000372, 2000633"
"His Dark Materials (Lyra communicates with Dust)",2431,"Narrative, TV series or episode","20001, 2000131",Dust,2430,,,,,"Responding, Communicating, Showing, Helping","20001675, 2000514, 2000399, 2000372"
"Rugal ( The Ai shows Kang Ki-beom what it knows)",2425,"Narrative, TV series or episode","20001, 2000131","Kang Ki-beom",1919,,,,,"Watching, Surprised, Observing, Controlling, Overwhelmed, Investigating","2000350, 2000345, 20001032, 2000402, 2000913, 2000366"
"Rugal ( The Ai shows Kang Ki-beom what it knows)",2425,"Narrative, TV series or episode","20001, 2000131",,,,,"Optical/ocular implant",2000127,Showing,2000399
"Rugal ( The Ai shows Kang Ki-beom what it knows)",2425,"Narrative, TV series or episode","20001, 2000131",,,,,"Facial recognition, Surveillance cameras","20007, 200080","Recording, Revealing, Identifying","2000403, 2000368, 2000354"
"Rugal ( The Ai shows Kang Ki-beom what it knows)",2425,"Narrative, TV series or episode","20001, 2000131",,,,,"AI (General Purpose Artificial Intelligence)",2000152,"Communicating, Controlled, Searching, Revealing, Decrypted, Identifying","2000514, 2000543, 2000615, 2000368, 20001983, 2000354"
"Rugal ( The Ai shows Kang Ki-beom what it knows)",2425,"Narrative, TV series or episode","20001, 2000131","Hwang Deuk-Gu",2925,,,,,Investigated,20001200
"The Expanse (AR to retrace flight course)",2423,"Narrative, TV series or episode","20001, 2000131","Josephus Miller",2420,,,,,"Investigating, Controlling, Hypothesizing, Searching","2000366, 2000402, 20001385, 2000615"
"The Expanse (AR to retrace flight course)",2423,"Narrative, TV series or episode","20001, 2000131",,,,,"Augmented reality, Holograms","200074, 20001339","Simulating, Zooming, Controlled","2000798, 2000363, 2000543"
"The Expanse (Naomi is recognised by the ship)",2422,"Narrative, TV series or episode","20001, 2000131","Naomi Nagata",2414,,,,,"Shocked, Recognised, Communicating, Identified","2000562, 20001618, 2000514, 2000500"
"The Expanse (Naomi is recognised by the ship)",2422,"Narrative, TV series or episode","20001, 2000131",,,,,"AI (General Purpose Artificial Intelligence), Surveillance cameras","2000152, 200080","Obeying, Recognising, Writing, Identifying","2000725, 2000378, 20001975, 2000354"
"The Expanse (Spaceship cameras scan and reveal)",2417,"Narrative, TV series or episode","20001, 2000131",,,,,"Body scans",200090,"Scanning, Identifying","2000377, 2000354"
"The Expanse (Spaceship cameras scan and reveal)",2417,"Narrative, TV series or episode","20001, 2000131",,,,,"Surveillance cameras",200080,Revealing,2000368
"The Expanse (Spaceship cameras scan and reveal)",2417,"Narrative, TV series or episode","20001, 2000131","Space station/ship crew members",2319,,,,,"Watching, Communicating, Analysing","2000350, 2000514, 2000364"
"Fall; or, Dodge in Hell (Shared AR interfaces using glasses)",2405,"Narrative, Novel","20001, 2000133","Sophia (Fall)",2404,,,,,"Displaying, Analysing, Sharing, Convincing","2000398, 2000364, 2000424, 2000483"
"Fall; or, Dodge in Hell (Shared AR interfaces using glasses)",2405,"Narrative, Novel","20001, 2000133",,,,,"Augmented reality",200074,Displaying,2000398
"Android Kunjappan Version 5.25 (Android analyses soil substance)",2402,"Narrative, Movie","20001, 2000130",Kunjappan,2398,,,,,"Scanning, Recognising, Analysing, Informing","2000377, 2000378, 2000364, 2000449"
"Android Kunjappan Version 5.25 (Android analyses soil substance)",2402,"Narrative, Movie","20001, 2000130",,,,,"AI (General Purpose Artificial Intelligence), Augmented reality, Object recognition","2000152, 200074, 200015","Scanning, Analysing","2000377, 2000364"
"Android Kunjappan Version 5.25 (Android analyses soil substance)",2402,"Narrative, Movie","20001, 2000130","Bhaskara Poduva",2399,,,,,"Waiting, Informed","20001060, 20001359"
"Android Kunjappan Version 5.25 (Android analyses soil substance)",2402,"Narrative, Movie","20001, 2000130",,,Object,2000962,,,"Scanned, Analysed","2000658, 2000880"
"Android Kunjappan Version 5.25 (Android scans and gives advice)",2401,"Narrative, Movie","20001, 2000130",Kunjappan,2398,,,,,"Advising, Scanning, Analysing","2000606, 2000377, 2000364"
"Android Kunjappan Version 5.25 (Android scans and gives advice)",2401,"Narrative, Movie","20001, 2000130",Subramanian,2400,,,,,"Advised, Helped","20001244, 2000518"
"Android Kunjappan Version 5.25 (Android scans and gives advice)",2401,"Narrative, Movie","20001, 2000130",,,,,"AI (General Purpose Artificial Intelligence), Augmented reality, Object recognition","2000152, 200074, 200015","Scanning, Analysing","2000377, 2000364"
"Srivalli (Holographic brainwave experiment)",2395,"Narrative, Movie","20001, 2000130","Srivalli's little brother",2394,,,,,"Activated, Controlled, Saved","20001606, 2000543, 20001440"
"Srivalli (Holographic brainwave experiment)",2395,"Narrative, Movie","20001, 2000130",,,,,"Biometrics, Body scans","20009, 200090","Analysing, Saving","2000364, 2000552"
"Srivalli (Holographic brainwave experiment)",2395,"Narrative, Movie","20001, 2000130",,,,,Holograms,20001339,"Depicting, Saving","20001850, 2000552"
"Srivalli (Holographic brainwave experiment)",2395,"Narrative, Movie","20001, 2000130",Srivalli,2391,,,,,"Commanding, Experimenting, Controlling, Saving","20001210, 2000900, 2000402, 2000552"
"Srivalli (Hologram depicting brainwaves)",2393,"Narrative, Movie","20001, 2000130",Verma,2392,,,,,"Experimenting, Attempting, Processing, Analysing","2000900, 2000809, 2000795, 2000364"
"Srivalli (Hologram depicting brainwaves)",2393,"Narrative, Movie","20001, 2000130",Srivalli,2391,,,,,"Targeted, Analysed","20001204, 2000880"
"Srivalli (Hologram depicting brainwaves)",2393,"Narrative, Movie","20001, 2000130",,,,,"Biometrics, Body scans, Holograms","20009, 200090, 20001339","Analysing, Visualising","2000364, 20001273"
"A Memory Called Empire (Holographs)",2386,"Narrative, Novel","20001, 2000133",,,"Humans in general",2000356,,,"Playing, Manipulating, Informed, Planning","2000624, 2000486, 20001359, 2000695"
"A Memory Called Empire (Holographs)",2386,"Narrative, Novel","20001, 2000133",,,,,Holograms,20001339,"Displaying, Informing","2000398, 2000449"
"A Memory Called Empire (Cloudhooks)",2383,"Narrative, Novel","20001, 2000133",,,,,"Optical/ocular implant",2000127,"Connecting, Accessing, Enabling","2000510, 20001003, 20001092"
"A Memory Called Empire (Cloudhooks)",2383,"Narrative, Novel","20001, 2000133",,,"Humans in general",2000356,,,"Controlling, Accessing, Connecting","2000402, 20001003, 2000510"
"Cosmodrama (Monkey brain tests)",2381,"Narrative, Movie","20001, 2000130","The Physiologist (Cosmodrama)",2380,,,,,"Scanning, Researching, Analysing","2000377, 20001113, 2000364"
"Cosmodrama (Monkey brain tests)",2381,"Narrative, Movie","20001, 2000130","Monkey (Cosmodrama)",2379,,,,,"Analysed, Scanned, Examined","2000880, 2000658, 20001496"
"Cosmodrama (Monkey brain tests)",2381,"Narrative, Movie","20001, 2000130",,,,,"Body scans",200090,"Analysing, Examining, Exploring","2000364, 20001495, 2000580"
"Cosmodrama (Monkey brain tests)",2381,"Narrative, Movie","20001, 2000130",,,,,"Body scans, Image generation","200090, 200073","Showing, Revealing","2000399, 2000368"
"Cosmodrama (Woman of the waves appears on screen)",2377,"Narrative, Movie","20001, 2000130","La femme des ondes/ the woman from the waves (Cosmodrama)",2375,,,,,"Appearing, Surprising, Soothing, Communicating","20001072, 20001663, 20001654, 2000514"
"Cosmodrama (Woman of the waves appears on screen)",2377,"Narrative, Movie","20001, 2000130",,,,,"Image generation",200073,"Transmitting, Communicating, Displaying","2000594, 2000514, 2000398"
"Cosmodrama (Woman of the waves appears on screen)",2377,"Narrative, Movie","20001, 2000130","Reporter (Cosmodrama) , Psychologist (Cosmodrama)","2373, 2376",,,,,"Seeing, Philosophising, Communicating","2000561, 20001660, 2000514"
"Cosmodrama (Woman of the waves appears on screen)",2377,"Narrative, Movie","20001, 2000130","Reporter (Cosmodrama) , Psychologist (Cosmodrama)","2373, 2376",,,,,"Surprised, Watching","2000345, 2000350"
"2.0 (Hologram reveals aura)",2370,"Narrative, Movie","20001, 2000130","Chitti the robot",2365,,,,,"Revealing, Remembering, Showing, Commanded","2000368, 20001246, 2000399, 20001211"
"2.0 (Hologram reveals aura)",2370,"Narrative, Movie","20001, 2000130","Pakshi Rajan/Birds",2369,,,,,"Revealed, Analysed, Documented","2000705, 2000880, 2000820"
"2.0 (Hologram reveals aura)",2370,"Narrative, Movie","20001, 2000130",,,,,"AI (General Purpose Artificial Intelligence), Augmented reality, Holograms, Non-Visible Spectrum","2000152, 200074, 20001339, 2000207","Revealing, Documenting, Showing","2000368, 2000829, 2000399"
"2.0 (Hologram reveals aura)",2370,"Narrative, Movie","20001, 2000130","Dr. Vaseegaran",2363,,,,,"Commanding, Showed","20001210, 20001613"
"2.0 (Nila bypasses ethical guidelines to hack locked door)",2368,"Narrative, Movie","20001, 2000130","Dr. Vaseegaran",2363,,,,,"Commanding, Learning, Forcing, Informed","20001210, 2000633, 20001342, 20001359"
"2.0 (Nila bypasses ethical guidelines to hack locked door)",2368,"Narrative, Movie","20001, 2000130","Nila the robot",2364,,,,,"Learning, Changing, Forced, Commanded, Hacking, Informed","2000633, 20001361, 2000593, 20001211, 2000409, 20001359"
"2.0 (Nila bypasses ethical guidelines to hack locked door)",2368,"Narrative, Movie","20001, 2000130",,,,,"Augmented reality",200074,"Informing, Visualising","2000449, 20001273"
