Character,ID,Race/ethnicity,"Race/ethnicity ID",Gender,"Gender ID",Species,"Species ID",Age,"Age ID",Sexuality,"Sexuality ID"
Pablo,2911,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Kenzo,2910,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"James Holden",2909,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"A.I. (The Social Dilemma)",2907,White,2000216,Male,2000149,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"Adam Newman",2901,White,2000216,Male,2000149,Machine,2000220,Adult,2000227,Heterosexual,2000999
"Richard Nolan",2900,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Lieutenant Joshi",2899,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"John Wyles",2897,White,2000216,Male,2000149,Human,2000219,Elderly,2000226,Heterosexual,2000999
"Dr. Eva Rosalene",2896,Black,2000310,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Dr. Neil Watts",2895,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Martin Symborski",2891,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Katya Kozlova",2890,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Angel (Blade Runner 2049)",2889,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Ellery Vas",2887,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"AC-130 TV operator",2886,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"John ""Soap"" MacTavish",2881,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Agents (Satellite Reign)",2878,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"Agent Roy Merritt",2873,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Charles Mosely",2870,Black,2000310,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Marcus Yallow",2868,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,"Young adult",2000225,Heterosexual,2000999
Greyson,2863,"Person of colour",2000215,Male,2000149,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
"Rowan Damish",2860,"Person of colour",2000215,Male,2000149,Human,2000219,"Young adult",2000225,Heterosexual,2000999
"Citra Terranova/Scythe Anastasia",2858,"Person of colour",2000215,Female,2000148,Human,2000219,"Young adult",2000225,Heterosexual,2000999
Thunderhead,2857,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"Francis Pritchard",2855,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Adam Jensen",2854,White,2000216,Male,2000149,Cyborg,2000221,Adult,2000227,"Unknown/not applicable",20001506
"Iconic Black Woman",2851,Black,2000310,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Nova Terra",2848,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Akihabara (NAMAHAGE in Tokyo)",2846,Asian,2000323,Male,2000149,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
"Valerian Mengsk",2844,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Jim Raynor",2843,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Arcturus Mengsk",2842,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Unnamed android (The Talos Principle)",2839,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Gangsters (Security Cameras)",2838,Black,2000310,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"""3D Binna Choi""",2830,Asian,2000323,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"The Mauler Twins",2829,"Unknown/not applicable",2000217,Male,2000149,"Fictional species",2000223,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"The (new) Guardians of the Globe",2827,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,"Unknown/Not applicable",20001917,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Global Defense Agency",2826,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
X-Men,2818,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,"Fictional species",2000223,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
Vision,2816,"Unknown/not applicable",2000217,Male,2000149,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"James Rhodes",2815,Black,2000310,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Mark Grayson",2814,Multiple/complex,2000324,Male,2000149,"Fictional species",2000223,"Young adult",2000225,Heterosexual,2000999
"Robot (Invincible)",2813,"Unknown/not applicable",2000217,Male,2000149,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Moff Gideon",2808,Multiple/complex,2000324,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Edward (The Peripheral)",2801,Black,2000310,Male,2000149,Human,2000219,Adult,2000227,Homosexual,20001199
Verity,2797,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
Eunice/UNISS,2796,Black,2000310,Female,2000148,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"Dalton Woolfe",2794,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
